driver_id,gender,birth_date,first_active
140333893,M,,2016-03-05
140590065,F,1994-05-11,2016-07-13
140648837,F,1972-03-17,2016-08-11
140614395,F,1995-02-12,2016-07-19
140468367,M,1991-08-08,2016-05-22
140447713,M,1990-08-15,2016-05-17
140654476,M,1979-06-22,2016-08-12
140500035,M,1980-08-30,2016-06-02
140486116,M,1975-07-01,2016-05-30
140519295,M,1982-06-03,2016-06-09
140612310,M,1982-06-30,2016-07-24
140644381,M,1982-01-16,2016-07-28
140434318,M,1981-09-09,2016-05-20
140211890,M,1983-04-02,2015-11-21
140568508,M,1984-03-04,2016-07-07
140227718,M,1971-05-23,2015-12-18
140102096,M,1968-11-28,2015-05-12
140492869,M,1978-10-11,2016-06-03
140658853,M,1971-03-12,2016-08-02
140539069,M,1985-06-17,2016-06-15
140407532,M,1989-04-08,2016-04-27
140171621,M,,2015-09-16
140480476,M,1973-12-01,2016-05-26
140559537,M,1987-02-15,2016-06-23
140482470,M,1978-11-14,2016-06-01
140258877,M,1993-10-19,2016-01-12
140639455,M,1990-05-03,2016-07-27
140541551,M,1989-10-23,2016-06-16
140168397,M,1981-03-01,2015-09-03
140547474,M,1990-04-04,2016-06-19
140096096,M,1975-06-06,2015-08-11
140089977,M,1964-09-29,2015-04-24
140380007,M,1959-01-11,2016-04-07
140669003,M,1984-09-10,2016-08-07
140130607,M,1985-11-13,2015-06-19
140114732,M,,2015-05-28
140673453,M,1990-03-11,2016-08-08
140091425,M,,2015-04-26
140089599,M,1978-05-08,2015-04-21
140130431,M,1975-08-12,2015-06-18
140683451,M,1965-08-01,2016-08-12
140117532,M,1965-10-16,2015-06-01
140573104,M,1982-12-14,2016-07-07
140633895,M,1968-08-16,2016-07-25
140458334,M,1977-11-05,2016-05-18
140441466,M,1974-08-27,2016-05-12
140598402,M,1962-12-12,2016-07-15
140277152,M,1962-07-26,2016-01-19
140426276,M,1964-01-05,2016-05-05
140198918,M,,2015-10-20
140509196,M,1977-05-04,2016-06-10
140554001,M,1992-12-29,2016-06-22
140115953,M,,2015-06-01
140620747,M,1981-12-20,2016-07-20
140116591,M,,2015-06-01
140174712,M,1986-12-11,2015-09-16
140660792,M,1980-01-10,2016-08-12
140634053,M,1975-08-18,2016-07-28
140127666,M,1982-10-20,2015-06-15
140582827,M,1980-01-22,2016-07-11
140481967,M,1964-11-25,2016-05-28
140674888,M,1973-02-15,2016-08-08
140648657,M,1984-08-29,2016-07-28
140093124,M,1982-07-31,2015-05-17
140627384,M,1986-02-08,2016-08-08
140453977,M,1975-05-02,2016-05-17
140494196,M,1986-11-30,2016-05-31
140153660,M,,2015-08-10
140140793,M,,2015-07-20
140105421,M,,2015-05-18
140515291,M,1970-04-27,2016-06-07
140283081,M,1978-03-14,2016-02-21
140496945,M,1992-11-19,2016-07-20
140105988,M,1967-06-06,2015-05-17
140484103,M,1989-11-11,2016-05-28
140524789,M,1988-09-07,2016-06-10
140671735,M,1987-11-18,2016-08-08
140112935,M,1966-08-08,2015-05-28
140362600,M,1967-01-04,2016-05-29
140571975,M,1991-04-30,2016-07-06
140632488,M,1979-03-13,2016-07-27
140220585,M,1977-07-17,2015-12-07
140601202,M,1971-06-03,2016-07-20
140463061,M,1975-05-01,2016-06-10
140304731,M,1974-02-23,2016-02-14
140554221,M,1978-12-11,2016-06-22
140628476,M,1990-02-08,2016-07-24
140091304,M,1981-07-15,2015-04-26
140437540,M,1987-05-12,2016-05-14
140328298,M,,2016-02-25
140545383,M,1989-11-04,2016-06-18
140188127,M,,2015-09-30
140494188,M,1986-09-19,2016-06-01
140485293,M,1992-04-30,2016-05-30
140604235,M,1984-06-12,2016-07-17
140503085,M,1981-07-20,2016-06-11
140686751,M,1974-12-28,2016-08-12
140241626,M,1992-05-11,2015-12-29
140449024,M,1978-05-25,2016-05-16
140586283,M,1994-10-27,2016-07-12
140520128,M,1965-07-02,2016-06-09
140118517,M,1972-08-25,2015-06-02
140564090,M,1973-12-31,2016-07-06
140603227,M,1981-05-19,2016-07-31
140669343,M,1986-12-04,2016-08-09
140384131,M,1978-11-09,2016-04-11
140413509,M,1979-08-19,2016-05-09
140524771,M,1985-11-12,2016-06-12
140124801,M,1970-04-14,2015-06-10
140168370,M,1985-01-13,2015-09-03
140565896,M,1968-05-01,2016-07-05
140452607,M,1981-08-14,2016-05-17
140106219,M,1973-11-02,2015-05-17
140092642,M,1981-06-29,2015-06-03
140572967,M,1986-11-09,2016-07-14
140493648,M,1980-05-30,2016-06-03
140577651,M,1983-05-06,2016-07-08
140125298,M,1976-01-01,2015-06-10
140683708,M,1985-05-19,2016-08-11
140611536,M,1988-01-08,2016-07-19
140299332,M,1987-10-11,2016-02-13
140557758,M,1969-06-23,2016-06-22
140672353,M,1978-07-23,2016-08-08
140481120,M,1994-07-21,2016-05-26
140181432,M,1981-04-14,2015-09-22
140590294,M,1970-11-24,2016-07-13
140161998,M,1993-06-23,2015-08-26
140093314,M,1982-03-29,2015-04-30
140662081,M,1989-08-05,2016-08-04
140092955,M,,2015-04-29
140214500,M,1971-02-10,2015-11-24
140090340,M,1972-07-03,2015-04-22
140502383,M,1975-11-26,2016-06-03
140607891,M,1973-05-20,2016-07-19
140152929,M,1995-06-21,2015-08-09
140157135,M,1989-05-09,2015-08-16
140460751,M,1978-02-02,2016-05-20
140089156,M,1969-12-20,2015-04-21
140656144,M,1982-07-28,2016-08-03
140652961,M,1984-02-18,2016-07-30
140547374,M,1975-12-07,2016-06-30
140682333,M,1994-10-25,2016-08-12
140088951,M,1980-01-01,2015-04-20
140275595,M,1969-08-11,2016-01-25
140114899,M,1976-05-17,2015-05-28
140214540,M,1967-07-30,2016-04-25
140180627,M,1984-03-15,2015-09-23
140300511,M,1968-03-03,2016-02-15
140546849,M,1977-10-26,2016-06-20
140209155,M,1972-09-28,2015-11-11
140106062,M,,2015-05-17
140636533,M,1997-02-13,2016-08-04
140091642,M,1988-02-07,2015-05-20
140599809,M,1988-03-19,2016-07-16
140685427,M,,2016-08-11
140179787,F,,2015-09-21
140162519,M,1977-06-22,2015-09-04
140502496,M,1981-11-06,2016-06-05
140167363,M,,2015-09-03
140384381,M,1987-08-24,2016-04-14
140326623,M,1975-09-11,2016-02-24
140530455,M,1980-08-12,2016-06-13
140398944,M,1973-10-28,2016-04-21
140439972,M,1980-10-20,2016-05-12
140256934,M,1985-08-09,2016-01-08
140581927,M,1985-06-25,2016-07-12
140174418,M,1970-06-05,2015-09-28
140595371,M,1966-10-04,2016-07-19
140488031,M,1993-04-19,2016-06-01
140603327,M,1975-02-22,2016-07-25
140676229,M,,2016-08-09
140543989,M,1991-02-16,2016-06-30
140590307,M,1967-05-05,2016-07-12
140149115,M,,2015-08-05
140540442,M,1977-06-01,2016-06-16
140088928,M,1965-12-10,2015-04-21
140474382,M,1964-09-22,2016-05-23
140089174,M,,2015-04-20
140421650,M,1987-04-02,2016-05-04
140652877,F,1981-12-29,2016-07-30
140513178,M,1990-11-19,2016-06-07
140100626,M,,2015-05-12
140200239,M,1983-06-09,2015-10-21
140381284,M,1991-03-30,2016-04-21
140562044,M,1994-10-09,2016-07-04
140566303,M,1986-06-05,2016-07-06
140156241,M,,2015-08-17
140509513,M,1993-09-12,2016-06-10
140639051,F,1980-10-07,2016-07-27
140133815,M,1983-09-21,2015-06-24
140283427,M,1984-02-14,2016-02-21
140564853,M,1993-02-23,2016-07-05
140512324,M,1987-12-11,2016-06-18
140274613,M,1978-07-15,2016-01-21
140148974,M,,2015-08-05
140578949,M,1985-03-03,2016-07-10
140562895,M,1989-05-28,2016-07-05
140430175,M,1957-11-04,2016-05-15
140217042,M,1980-01-09,2015-11-30
140163085,M,,2015-08-25
140608785,M,1988-09-16,2016-07-19
140140548,M,,2015-07-20
140275803,M,1990-10-09,2016-02-06
140173767,M,1982-07-06,2015-09-15
140295600,M,1968-12-01,2016-01-29
140619820,M,1985-07-13,2016-07-21
140259138,M,,2016-01-11
140093009,M,1982-01-01,2015-08-09
140574246,M,1992-09-24,2016-07-11
140299201,M,1983-01-25,2016-02-04
140170594,M,1983-02-19,2015-09-07
140599348,M,1992-07-25,2016-07-16
140497767,M,1971-05-15,2016-06-05
