driver_id,date,total_transcations,total_distance,online_duration_in_seconds,orders_received,orders_accepted,earnings,orders_cancelled,label
140590065,2016-08-11,0,0.0,13327,25,0,0.0,0,0
140648837,2016-08-11,0,0.0,33415,49,1,0.0,1,0
140614395,2016-08-11,0,0.0,12411,108,0,0.0,0,0
140468367,2016-08-11,0,0.0,56774,45,2,0.0,2,0
140447713,2016-08-11,0,0.0,12472,158,0,0.0,0,0
140654476,2016-08-11,0,0.0,47251,43,1,0.0,0,0
140612310,2016-08-11,0,0.0,21532,219,0,0.0,0,0
140644381,2016-08-11,0,0.0,25636,29,2,0.0,0,1
140211890,2016-08-11,0,0.0,54371,26,0,0.0,0,1
140227718,2016-08-11,0,0.0,34611,57,2,0.0,2,0
140658853,2016-08-11,0,0.0,4521,50,3,0.0,2,0
140559537,2016-08-11,2,30.94,20216,29,2,125350.0,0,0
140482470,2016-08-11,2,17.71,24275,45,12,63249.99999999999,7,0
140639455,2016-08-11,2,33.73,27638,35,8,170200.0,1,0
140541551,2016-08-11,2,26.45,23471,35,2,152950.0,0,0
140669003,2016-08-11,2,29.72,18269,28,5,113850.0,2,0
140130607,2016-08-11,2,43.35,25737,29,7,163300.0,3,0
140114732,2016-08-11,2,47.44,37270,43,2,181700.0,0,0
140673453,2016-08-11,2,22.38,36366,42,8,90850.0,2,0
140091425,2016-08-11,3,57.39,21259,26,5,207000.0,0,0
140089599,2016-08-11,3,71.48,45639,51,7,267950.0,2,0
140130431,2016-08-11,3,56.54,34403,36,3,249550.0,0,0
140683451,2016-08-11,3,16.33,9233,27,4,73600.0,0,0
140117532,2016-08-11,3,52.99,47514,68,4,195500.0,0,0
140573104,2016-08-11,3,47.26,33627,67,5,171350.0,1,0
140277152,2016-08-11,4,62.06,52498,25,5,254150.0,1,0
140509196,2016-08-11,4,40.46,27810,43,5,156400.0,0,0
140116591,2016-08-11,4,41.91,50750,32,4,148350.0,0,0
140174712,2016-08-11,4,73.94,48099,40,5,366850.0,1,0
140127666,2016-08-11,4,63.09,27124,69,12,343850.0,6,0
140481967,2016-08-11,4,32.32,18490,37,6,94300.0,1,0
140674888,2016-08-11,4,45.92,36058,66,15,194350.0,2,0
140648657,2016-08-11,5,75.43,34663,77,7,324300.0,1,0
140627384,2016-08-11,5,33.14,41472,26,14,138000.0,4,0
140453977,2016-08-11,5,59.18,29466,25,10,158700.0,0,0
140494196,2016-08-11,5,75.52,33881,53,15,299000.0,4,0
140140793,2016-08-11,6,58.81,44384,68,10,273700.0,2,0
140283081,2016-08-11,6,71.37,43690,27,9,281750.0,1,0
140496945,2016-08-11,7,112.21,65338,71,9,439300.0,1,0
140524789,2016-08-11,8,93.69,46922,46,13,235750.0,0,0
140112935,2016-08-11,8,238.26,59735,57,12,860199.9999999999,2,0
140362600,2016-08-11,9,71.37,48615,26,15,246100.0,0,0
140571975,2016-08-11,9,63.24,35976,24,18,235750.0,2,0
140601202,2016-08-11,9,93.85,35776,33,16,320850.0,2,0
140463061,2016-08-11,9,89.57,39666,30,11,351900.0,0,0
140304731,2016-08-11,10,129.57,45858,24,15,432400.0,2,0
140554221,2016-08-11,10,89.27,30778,25,11,351900.0,0,0
140628476,2016-08-11,10,92.79,40393,24,17,290950.0,1,0
140328298,2016-08-11,10,60.91,34758,24,23,215050.0,8,0
140188127,2016-08-11,11,108.73,31224,25,15,486450.0,1,0
140494188,2016-08-11,11,64.84,33126,26,12,242650.0,0,0
140604235,2016-08-11,12,78.74,53593,28,20,289800.0,2,0
140503085,2016-08-11,12,104.23,51533,29,18,308200.0,5,0
140241626,2016-08-11,12,206.45,58083,30,20,633650.0,2,0
140449024,2016-08-11,12,68.57,28198,30,18,259900.0,1,0
140586283,2016-08-11,13,78.4,51076,24,15,327750.0,0,0
140118517,2016-08-11,13,155.78,50587,28,18,580750.0,1,0
140384131,2016-08-11,13,109.16,53385,25,19,346150.0,1,0
140565896,2016-08-11,14,87.18,33575,25,22,348450.0,2,0
140106219,2016-08-11,14,100.39,45863,27,20,385250.0,1,0
140092642,2016-08-11,14,100.62,41294,27,21,355350.0,1,0
140572967,2016-08-11,14,192.06,58602,24,21,638250.0,0,0
140577651,2016-08-11,14,173.85,38102,24,20,614100.0,1,0
140683708,2016-08-11,15,85.38,57921,26,23,305900.0,2,0
140611536,2016-08-11,15,95.65,40208,26,20,348450.0,0,0
140557758,2016-08-11,15,172.1,49718,27,24,707250.0,6,0
140672353,2016-08-11,15,145.15,48686,24,23,619850.0,0,0
140590294,2016-08-11,15,164.78,64413,24,21,630200.0,1,0
140161998,2016-08-11,15,195.09,49309,28,21,696900.0,4,0
140093314,2016-08-11,15,61.81,32376,26,24,240350.0,5,0
140662081,2016-08-11,15,102.93,43094,30,19,342700.0,2,0
140092955,2016-08-11,15,189.73,53278,36,18,688850.0,1,0
140214500,2016-08-11,15,43.39,34554,33,16,194350.0,1,0
140090340,2016-08-11,15,166.36,42414,29,24,566950.0,1,0
140502383,2016-08-11,15,74.8,39419,24,21,327750.0,4,0
140460751,2016-08-11,16,76.68,32602,27,23,290950.0,0,0
140089156,2016-08-11,16,133.28,51123,25,16,382950.0,1,0
140656144,2016-08-11,16,57.64,31987,26,21,251850.0,1,0
140547374,2016-08-11,1,24.44,17047,24,1,159850.0,0,0
140088951,2016-08-11,1,27.51,16803,25,1,94300.0,0,0
140214540,2016-08-11,1,13.79,18545,41,2,56349.99999999999,0,0
140180627,2016-08-11,1,47.31,21260,48,3,116150.0,0,0
140300511,2016-08-11,1,0.88,12007,70,3,11500.0,1,0
140546849,2016-08-11,1,6.63,7293,26,5,27600.0,4,0
140106062,2016-08-11,1,8.41,16579,32,2,28750.0,1,0
140636533,2016-08-11,1,20.54,23030,31,2,98900.0,1,0
140599809,2016-08-11,1,9.53,13375,49,5,0.0,4,0
140685427,2016-08-11,1,8.86,25273,24,4,35650.0,0,0
